,,,# Pl,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,,,,,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Arsenal,30,38.0,690,436,326,268,96,262,667,39.3,405,5449,1753,32.2,1784,2395,1270,509,117,3,392,484,1174,939,12,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
ENG-Premier League,1718,Bournemouth,22,38.0,582,331,298,212,72,191,551,34.7,360,5642,1553,27.5,1895,2566,1181,622,175,6,447,466,1048,1325,8,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
ENG-Premier League,1718,Brighton,24,38.0,692,447,411,235,46,230,727,31.6,497,6163,1737,28.2,2544,2589,1030,638,208,7,430,556,1248,1227,19,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
ENG-Premier League,1718,Burnley,24,38.0,578,351,297,223,58,220,632,34.8,412,5957,1637,27.5,2036,2667,1254,675,210,6,465,529,1107,1486,9,/en/squads/943e8050/2017-2018/Burnley-Stats
ENG-Premier League,1718,Chelsea,26,38.0,720,445,357,285,78,238,583,40.8,345,5280,1730,32.8,1924,2329,1027,510,129,2,381,514,1234,804,10,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
ENG-Premier League,1718,Crystal Palace,28,38.0,760,451,429,268,63,258,682,37.8,424,5664,1661,29.3,2195,2446,1023,643,131,5,512,631,1391,1216,13,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
ENG-Premier League,1718,Everton,30,38.0,749,459,408,260,81,247,672,36.8,425,6595,1817,27.6,2454,2788,1353,641,176,6,465,580,1329,1299,9,/en/squads/d3fd31cc/2017-2018/Everton-Stats
ENG-Premier League,1718,Huddersfield,25,38.0,829,464,388,349,92,241,674,35.8,433,6575,2029,30.9,2364,2875,1336,640,133,7,507,546,1375,1267,14,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
ENG-Premier League,1718,Leicester City,27,38.0,703,433,376,261,66,203,662,30.7,459,6060,1761,29.1,2233,2644,1183,621,153,4,468,583,1286,1191,6,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
ENG-Premier League,1718,Liverpool,27,38.0,706,448,299,301,106,207,564,36.7,357,5692,1885,33.1,1583,2718,1391,493,81,2,412,524,1230,1046,10,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
ENG-Premier League,1718,Manchester City,25,38.0,641,406,259,275,107,219,609,36.0,390,4699,1580,33.6,1239,2115,1345,394,64,2,330,469,1110,776,15,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
ENG-Premier League,1718,Manchester Utd,27,38.0,600,375,273,250,77,192,581,33.0,389,5773,1653,28.6,1835,2673,1265,543,130,3,413,595,1195,958,11,/en/squads/19538871/2017-2018/Manchester-United-Stats
ENG-Premier League,1718,Newcastle Utd,27,38.0,728,410,392,257,79,230,660,34.8,430,6405,1696,26.5,2482,2728,1195,667,133,6,534,559,1287,1404,9,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
ENG-Premier League,1718,Southampton,26,38.0,766,482,410,274,82,233,632,36.9,399,5811,1814,31.2,2113,2482,1216,604,151,3,453,522,1288,1188,10,/en/squads/33c895d4/2017-2018/Southampton-Stats
ENG-Premier League,1718,Stoke City,30,38.0,768,435,423,276,69,253,643,39.3,390,6000,1636,27.3,2415,2585,1000,595,153,3,442,541,1309,1284,10,/en/squads/17892952/2017-2018/Stoke-City-Stats
ENG-Premier League,1718,Swansea City,26,38.0,659,394,313,258,88,214,603,35.5,389,6117,1710,28.0,2192,2699,1226,557,137,1,420,525,1184,1107,9,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
ENG-Premier League,1718,Tottenham,25,38.0,695,422,286,295,114,225,601,37.4,376,5132,1762,34.3,1480,2351,1301,516,92,0,424,455,1150,869,11,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
ENG-Premier League,1718,Watford,29,38.0,736,454,376,284,76,219,606,36.1,387,5967,1786,29.9,2063,2712,1192,508,112,5,396,594,1330,1193,13,/en/squads/2abfe087/2017-2018/Watford-Stats
ENG-Premier League,1718,West Brom,24,38.0,669,397,369,227,73,259,700,37.0,441,5654,1595,28.2,2279,2306,1069,595,170,1,425,630,1299,1117,10,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
ENG-Premier League,1718,West Ham,27,38.0,662,411,349,238,75,220,646,34.1,426,5903,1744,29.5,2427,2418,1058,609,175,3,434,572,1234,1173,9,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
